top_position,name,weeks_in_top,weekly_views,url_tarjeta
1,Blessd,233,"25,864,377",https://charts.youtube.com/artist/%2Fg%2F11ggbnjqvv
2,Beéle,273,"24,304,814",https://charts.youtube.com/artist/%2Fg%2F11fm400jbf
3,Ryan Castro,239,"22,086,442",https://charts.youtube.com/artist/%2Fg%2F11c6cbmt0k
4,KAROL G,453,"19,478,703",https://charts.youtube.com/artist/%2Fg%2F11bt_1zp4n
6,Diomedes Díaz,464,"17,550,538",https://charts.youtube.com/artist/%2Fm%2F01s8l_3
5,Binomio de Oro de América,464,"16,999,626",https://charts.youtube.com/artist/%2Fm%2F03gvskq
7,Bad Bunny,462,"15,865,964",https://charts.youtube.com/artist/%2Fg%2F11gdq15782
8,Feid,296,"12,808,449",https://charts.youtube.com/artist/%2Fg%2F11dymwhgcz
10,Anuel AA,464,"11,512,369",https://charts.youtube.com/artist/%2Fg%2F11b7_v1rz5
9,Ovy On The Drums,211,"11,342,383",https://charts.youtube.com/artist/%2Fg%2F11f2b2z9_y
11,Arcángel,457,"10,371,061",https://charts.youtube.com/artist/%2Fm%2F043s9v8
12,Darío Gómez,464,"9,802,822",https://charts.youtube.com/artist/%2Fm%2F027vrfj
13,Los Inquietos Del Vallenato,456,"9,493,514",https://charts.youtube.com/artist/%2Fm%2F01q0dz2
15,Luis Alberto Posada,386,"9,233,921",https://charts.youtube.com/artist/%2Fg%2F11h_k26g_p
16,Silvestre Dangond,464,"8,991,503",https://charts.youtube.com/artist/%2Fm%2F02pr_vs
14,Los Diablitos,456,"8,756,786",https://charts.youtube.com/artist/%2Fm%2F01qcksf
17,Myke Towers,338,"8,462,014",https://charts.youtube.com/artist/%2Fg%2F11h4msckqh
18,Luis Alfonso,186,"8,285,606",https://charts.youtube.com/artist/%2Fg%2F11fssf65gn
19,Yeison Jimenez,457,"8,260,873",https://charts.youtube.com/artist/%2Fg%2F11gxfrfmks
20,Don Omar,464,"7,889,049",https://charts.youtube.com/artist/%2Fm%2F04lxnb
22,Farruko,464,"7,610,283",https://charts.youtube.com/artist/%2Fm%2F0hzrhcm
23,Vicente Fernández,464,"7,569,617",https://charts.youtube.com/artist/%2Fm%2F067swc
21,Romeo Santos,464,"7,550,678",https://charts.youtube.com/artist/%2Fm%2F09gdrgy
26,El Andariego,273,"7,080,498",https://charts.youtube.com/artist/%2Fg%2F11b7_wwyfx
29,Kris R.,60,"6,932,814",https://charts.youtube.com/artist/%2Fg%2F11b7_sjnmq
24,J Balvin,464,"6,884,989",https://charts.youtube.com/artist/%2Fm%2F0b__5gp
28,Grupo Niche,464,"6,705,562",https://charts.youtube.com/artist/%2Fm%2F06bzrw
25,Maluma,464,"6,672,469",https://charts.youtube.com/artist/%2Fm%2F0y7r5y0
27,Ozuna,464,"6,636,185",https://charts.youtube.com/artist/%2Fm%2F0yc1jt1
39,Fuerza Regida,140,"6,476,737",https://charts.youtube.com/artist/%2Fg%2F11fy19q209
31,Sean Paul,309,"6,424,096",https://charts.youtube.com/artist/%2Fm%2F01wglss
30,Daddy Yankee,464,"6,026,166",https://charts.youtube.com/artist/%2Fm%2F01wbl_r
46,Bryant Myers,439,"5,588,601",https://charts.youtube.com/artist/%2Fg%2F11c5s_dy_j
34,Kapo,60,"5,575,066",https://charts.youtube.com/artist/%2Fg%2F11h3jhb_70
33,Rauw Alejandro,339,"5,516,154",https://charts.youtube.com/artist/%2Fg%2F11fjwxgdfk
42,Farid Ortiz,334,"5,326,171",https://charts.youtube.com/artist/%2Fg%2F1ywpnk8tr
40,Jhonny Rivera,462,"5,243,080",https://charts.youtube.com/artist/%2Fm%2F0frqhd9
35,Nanpa Básico,353,"5,162,292",https://charts.youtube.com/artist/%2Fg%2F11gcms19rn
38,Aventura,464,"5,084,408",https://charts.youtube.com/artist/%2Fm%2F0126p9
37,Ñengo Flow,335,"5,080,451",https://charts.youtube.com/artist/%2Fm%2F0h3rxh8
36,Pirlo,144,"5,078,254",https://charts.youtube.com/artist/%2Fg%2F11fx8dpmcw
41,Juancho De la Espriella,428,"5,072,880",https://charts.youtube.com/artist/%2Fm%2F02ps4f_
45,Iván Zuleta,464,"5,015,193",https://charts.youtube.com/artist/%2Fm%2F0nhf205
50,Kybba,6,"5,000,222",https://charts.youtube.com/artist/%2Fg%2F11c1p9jhg1
44,Nicky Jam,464,"4,984,043",https://charts.youtube.com/artist/%2Fm%2F01q7z27
43,Daniel Calderón,63,"4,983,692",https://charts.youtube.com/artist/%2Fg%2F11b7_scch6
47,Juancho Rois,464,"4,929,016",https://charts.youtube.com/artist/%2Fm%2F0shprq6
53,Busy Signal,6,"4,882,096",https://charts.youtube.com/artist/%2Fm%2F03qlcgd
32,W Sound,53,"4,629,836",https://charts.youtube.com/artist/%2Fg%2F11w5bj10pp
49,Fernando Burbano,281,"4,565,223",https://charts.youtube.com/artist/%2Fg%2F11c5s6q0jj
48,Shakira,464,"4,536,999",https://charts.youtube.com/artist/%2Fm%2F01wj18h
51,Manuel Turizo,439,"4,482,406",https://charts.youtube.com/artist/%2Fg%2F11fy93z_dq
52,Peso Pluma,129,"4,455,516",https://charts.youtube.com/artist/%2Fg%2F11h936h21j
54,Wisin & Yandel,423,"4,197,279",https://charts.youtube.com/artist/%2Fm%2F01qfzxh
56,De La Ghetto,367,"4,192,109",https://charts.youtube.com/artist/%2Fm%2F04czjq_
58,Grupo Firme,208,"4,032,009",https://charts.youtube.com/artist/%2Fg%2F11nxd610l7
57,Pipe Bueno,362,"3,832,839",https://charts.youtube.com/artist/%2Fg%2F1214g68v
61,Luis Mateus,234,"3,744,504",https://charts.youtube.com/artist/%2Fg%2F11h4cfw4yz
62,Willie Colón,462,"3,737,702",https://charts.youtube.com/artist/%2Fm%2F01mxqdc
63,Andres Franco,39,"3,698,486",https://charts.youtube.com/artist/%2Fg%2F11ny0bg1qk
66,Los Tigres Del Norte,462,"3,661,087",https://charts.youtube.com/artist/%2Fm%2F01m4xy2
69,El Charrito Negro,279,"3,654,718",https://charts.youtube.com/artist/%2Fg%2F11h5mkg4kx
